outcome	file	ncase	ncontrol	frq_case_col	frq_control_col
main	data-local/mdd/daner_main.tsv.gz	412305	1588397	FRQ_A_412305	FRQ_U_1588397
noUKBB	data-local/mdd/daner_no_ukbb.tsv.gz	357636	1281936	FRQ_A_357636	FRQ_U_1281936
