accession	trait	trait_display	genome_build	sample_size	download_url
GCST90451323	Free_cholesterol_to_total_lipids_ratio_in_very_large_VLDL	Free cholesterol/total lipids ratio in very large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451323/GCST90451323.tsv.gz
GCST90451324	Free_cholesterol_in_very_large_VLDL	Free cholesterol in very large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451324/GCST90451324.tsv.gz
GCST90451325	Total_lipids_in_very_large_VLDL	Total lipids in very large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451325/GCST90451325.tsv.gz
GCST90451326	Phospholipids_to_total_lipids_ratio_in_very_large_VLDL	Phospholipids/total lipids ratio in very large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451326/GCST90451326.tsv.gz
GCST90451327	Phospholipids_in_very_large_VLDL	Phospholipids in very large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451327/GCST90451327.tsv.gz
GCST90451328	Concentration_of_very_large_VLDL_particles	Very large very-low-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451328/GCST90451328.tsv.gz
GCST90451329	Triglycerides_to_total_lipids_ratio_in_very_large_VLDL	Triglycerides/total lipids ratio in very large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451329/GCST90451329.tsv.gz
GCST90451330	Triglycerides_in_very_large_VLDL	Triglycerides in very large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451330/GCST90451330.tsv.gz
GCST90451331	Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	Cholesteryl esters/total lipids ratio in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451331/GCST90451331.tsv.gz
GCST90451332	Cholesteryl_esters_in_very_small_VLDL	Cholesteryl esters in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451332/GCST90451332.tsv.gz
GCST90451333	Cholesterol_to_total_lipids_ratio_in_very_small_VLDL	Cholesterol/total lipids ratio in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451333/GCST90451333.tsv.gz
GCST90451334	Cholesterol_in_very_small_VLDL	Cholesterol in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451334/GCST90451334.tsv.gz
GCST90451335	Free_cholesterol_to_total_lipids_ratio_in_very_small_VLDL	Free cholesterol/total lipids ratio in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451335/GCST90451335.tsv.gz
GCST90451336	Free_cholesterol_in_very_small_VLDL	Free cholesterol in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451336/GCST90451336.tsv.gz
GCST90451337	Total_lipids_in_very_small_VLDL	Total lipids in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451337/GCST90451337.tsv.gz
GCST90451338	Phospholipids_to_total_lipids_ratio_in_very_small_VLDL	Phospholipids/total lipids ratio in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451338/GCST90451338.tsv.gz
GCST90451339	Phospholipids_in_very_small_VLDL	Phospholipids in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451339/GCST90451339.tsv.gz
GCST90451340	Concentration_of_very_small_VLDL_particles	Very small very-low-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451340/GCST90451340.tsv.gz
GCST90451341	Triglycerides_to_total_lipids_ratio_in_very_small_VLDL	Triglycerides/total lipids ratio in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451341/GCST90451341.tsv.gz
GCST90451342	Triglycerides_in_very_small_VLDL	Triglycerides in very small very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451342/GCST90451342.tsv.gz
