accession	trait	trait_display	genome_build	sample_size	download_url
GCST90451152	Free_cholesterol_in_LDL	Free cholesterol in low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451152/GCST90451152.tsv.gz
GCST90451153	Total_lipids_in_LDL	Total lipids in low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451153/GCST90451153.tsv.gz
GCST90451154	Phospholipids_in_LDL	Phospholipids in low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451154/GCST90451154.tsv.gz
GCST90451155	Concentration_of_LDL_particles	Low-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451155/GCST90451155.tsv.gz
GCST90451156	Average_diameter_for_LDL_particles	Mean low-density lipoprotein particle diameter	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451156/GCST90451156.tsv.gz
GCST90451157	Triglycerides_in_LDL	Triglycerides in low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451157/GCST90451157.tsv.gz
GCST90451158	Leucine	Leucine	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451158/GCST90451158.tsv.gz
GCST90451159	Cholesteryl_esters_to_total_lipids_ratio_in_large_HDL	Cholesteryl esters/total lipids ratio in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451159/GCST90451159.tsv.gz
GCST90451160	Cholesteryl_esters_in_large_HDL	Cholesteryl esters in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451160/GCST90451160.tsv.gz
GCST90451161	Cholesterol_to_total_lipids_ratio_in_large_HDL	Cholesterol/total lipids ratio in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451161/GCST90451161.tsv.gz
GCST90451162	Cholesterol_in_large_HDL	Cholesterol in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451162/GCST90451162.tsv.gz
GCST90451163	Free_cholesterol_to_total_lipids_ratio_in_large_HDL	Free cholesterol/total lipids ratio in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451163/GCST90451163.tsv.gz
GCST90451164	Free_cholesterol_in_large_HDL	Free cholesterol in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451164/GCST90451164.tsv.gz
GCST90451165	Total_lipids_in_large_HDL	Total lipids in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451165/GCST90451165.tsv.gz
GCST90451166	Phospholipids_to_total_lipids_ratio_in_large_HDL	Phospholipids/total lipids ratio in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451166/GCST90451166.tsv.gz
GCST90451167	Phospholipids_in_large_HDL	Phospholipids in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451167/GCST90451167.tsv.gz
GCST90451168	Concentration_of_large_HDL_particles	Large high-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451168/GCST90451168.tsv.gz
GCST90451169	Triglycerides_to_total_lipids_ratio_in_large_HDL	Triglycerides/total lipids ratio in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451169/GCST90451169.tsv.gz
GCST90451170	Triglycerides_in_large_HDL	Triglycerides in large high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451170/GCST90451170.tsv.gz
GCST90451171	Cholesteryl_esters_to_total_lipids_ratio_in_large_LDL	Cholesteryl esters/total lipids ratio in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451171/GCST90451171.tsv.gz
GCST90451172	Cholesteryl_esters_in_large_LDL	Cholesteryl esters in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451172/GCST90451172.tsv.gz
GCST90451173	Cholesterol_to_total_lipids_ratio_in_large_LDL	Cholesterol/total lipids ratio in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451173/GCST90451173.tsv.gz
GCST90451174	Cholesterol_in_large_LDL	Cholesterol in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451174/GCST90451174.tsv.gz
GCST90451175	Free_cholesterol_to_total_lipids_ratio_in_large_LDL	Free cholesterol/total lipids ratio in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451175/GCST90451175.tsv.gz
GCST90451176	Free_cholesterol_in_large_LDL	Free cholesterol in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451176/GCST90451176.tsv.gz
GCST90451177	Total_lipids_in_large_LDL	Total lipids in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451177/GCST90451177.tsv.gz
GCST90451178	Phospholipids_to_total_lipids_ratio_in_large_LDL	Phospholipids/total lipids ratio in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451178/GCST90451178.tsv.gz
GCST90451179	Phospholipids_in_large_LDL	Phospholipids in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451179/GCST90451179.tsv.gz
GCST90451180	Concentration_of_large_LDL_particles	Large low-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451180/GCST90451180.tsv.gz
GCST90451181	Triglycerides_to_total_lipids_ratio_in_large_LDL	Triglycerides/total lipids ratio in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451181/GCST90451181.tsv.gz
GCST90451182	Triglycerides_in_large_LDL	Triglycerides in large low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451182/GCST90451182.tsv.gz
GCST90451183	Cholesteryl_esters_to_total_lipids_ratio_in_large_VLDL	Cholesteryl esters/total lipids ratio in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451183/GCST90451183.tsv.gz
GCST90451184	Cholesteryl_esters_in_large_VLDL	Cholesteryl esters in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451184/GCST90451184.tsv.gz
GCST90451185	Cholesterol_to_total_lipids_ratio_in_large_VLDL	Cholesterol/total lipids ratio in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451185/GCST90451185.tsv.gz
GCST90451186	Cholesterol_in_large_VLDL	Cholesterol in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451186/GCST90451186.tsv.gz
GCST90451187	Free_cholesterol_to_total_lipids_ratio_in_large_VLDL	Free cholesterol/total lipids ratio in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451187/GCST90451187.tsv.gz
GCST90451188	Free_cholesterol_in_large_VLDL	Free cholesterol in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451188/GCST90451188.tsv.gz
GCST90451189	Total_lipids_in_large_VLDL	Total lipids in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451189/GCST90451189.tsv.gz
GCST90451190	Phospholipids_to_total_lipids_ratio_in_large_VLDL	Phospholipids/total lipids ratio in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451190/GCST90451190.tsv.gz
GCST90451191	Phospholipids_in_large_VLDL	Phospholipids in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451191/GCST90451191.tsv.gz
GCST90451192	Concentration_of_large_VLDL_particles	Large very-low-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451192/GCST90451192.tsv.gz
GCST90451193	Triglycerides_to_total_lipids_ratio_in_large_VLDL	Triglycerides/total lipids ratio in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451193/GCST90451193.tsv.gz
GCST90451194	Triglycerides_in_large_VLDL	Triglycerides in large very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451194/GCST90451194.tsv.gz
GCST90451195	Cholesteryl_esters_to_total_lipids_ratio_in_medium_HDL	Cholesteryl esters/total lipids ratio in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451195/GCST90451195.tsv.gz
GCST90451196	Cholesteryl_esters_in_medium_HDL	Cholesteryl esters in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451196/GCST90451196.tsv.gz
GCST90451197	Cholesterol_to_total_lipids_ratio_in_medium_HDL	Cholesterol/total lipids ratio in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451197/GCST90451197.tsv.gz
GCST90451198	Cholesterol_in_medium_HDL	Cholesterol in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451198/GCST90451198.tsv.gz
GCST90451199	Free_cholesterol_to_total_lipids_ratio_in_medium_HDL	Free cholesterol/total lipids ratio in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451199/GCST90451199.tsv.gz
GCST90451200	Free_cholesterol_in_medium_HDL	Free cholesterol in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451200/GCST90451200.tsv.gz
GCST90451201	Total_lipids_in_medium_HDL	Total lipids in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451201/GCST90451201.tsv.gz
GCST90451202	Phospholipids_to_total_lipids_ratio_in_medium_HDL	Phospholipids/total lipids ratio in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451202/GCST90451202.tsv.gz
GCST90451203	Phospholipids_in_medium_HDL	Phospholipids in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451203/GCST90451203.tsv.gz
GCST90451204	Concentration_of_medium_HDL_particles	Medium high-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451204/GCST90451204.tsv.gz
GCST90451205	Triglycerides_to_total_lipids_ratio_in_medium_HDL	Triglycerides/total lipids ratio in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451205/GCST90451205.tsv.gz
GCST90451206	Triglycerides_in_medium_HDL	Triglycerides in medium high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451206/GCST90451206.tsv.gz
GCST90451207	Cholesteryl_esters_to_total_lipids_ratio_in_medium_LDL	Cholesteryl esters/total lipids ratio in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451207/GCST90451207.tsv.gz
GCST90451208	Cholesteryl_esters_in_medium_LDL	Cholesteryl esters in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451208/GCST90451208.tsv.gz
GCST90451209	Cholesterol_to_total_lipids_ratio_in_medium_LDL	Cholesterol/total lipids ratio in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451209/GCST90451209.tsv.gz
GCST90451210	Cholesterol_in_medium_LDL	Cholesterol in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451210/GCST90451210.tsv.gz
GCST90451211	Free_cholesterol_to_total_lipids_ratio_in_medium_LDL	Free cholesterol/total lipids ratio in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451211/GCST90451211.tsv.gz
GCST90451212	Free_cholesterol_in_medium_LDL	Free cholesterol in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451212/GCST90451212.tsv.gz
GCST90451213	Total_lipids_in_medium_LDL	Total lipids in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451213/GCST90451213.tsv.gz
GCST90451214	Phospholipids_to_total_lipids_ratio_in_medium_LDL	Phospholipids/total lipids ratio in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451214/GCST90451214.tsv.gz
GCST90451215	Phospholipids_in_medium_LDL	Phospholipids in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451215/GCST90451215.tsv.gz
GCST90451216	Concentration_of_medium_LDL_particles	Medium low-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451216/GCST90451216.tsv.gz
GCST90451217	Triglycerides_to_total_lipids_ratio_in_medium_LDL	Triglycerides/total lipids ratio in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451217/GCST90451217.tsv.gz
GCST90451218	Triglycerides_in_medium_LDL	Triglycerides in medium low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451218/GCST90451218.tsv.gz
GCST90451219	Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	Monounsaturated fatty acids/total fatty acids ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451219/GCST90451219.tsv.gz
GCST90451220	Monounsaturated_fatty_acids	Monounsaturated fatty acids	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451220/GCST90451220.tsv.gz
GCST90451221	Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	Cholesteryl esters/total lipids ratio in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451221/GCST90451221.tsv.gz
GCST90451222	Cholesteryl_esters_in_medium_VLDL	Cholesteryl esters in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451222/GCST90451222.tsv.gz
GCST90451223	Cholesterol_to_total_lipids_ratio_in_medium_VLDL	Cholesterol/total lipids ratio in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451223/GCST90451223.tsv.gz
GCST90451224	Cholesterol_in_medium_VLDL	Cholesterol in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451224/GCST90451224.tsv.gz
GCST90451225	Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	Free cholesterol/total lipids ratio in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451225/GCST90451225.tsv.gz
GCST90451226	Free_cholesterol_in_medium_VLDL	Free cholesterol in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451226/GCST90451226.tsv.gz
GCST90451227	Total_lipids_in_medium_VLDL	Total lipids in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451227/GCST90451227.tsv.gz
GCST90451228	Phospholipids_to_total_lipids_ratio_in_medium_VLDL	Phospholipids/total lipids ratio in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451228/GCST90451228.tsv.gz
GCST90451229	Phospholipids_in_medium_VLDL	Phospholipids in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451229/GCST90451229.tsv.gz
GCST90451230	Concentration_of_medium_VLDL_particles	Medium very-low-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451230/GCST90451230.tsv.gz
GCST90451231	Triglycerides_to_total_lipids_ratio_in_medium_VLDL	Triglycerides/total lipids ratio in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451231/GCST90451231.tsv.gz
GCST90451232	Triglycerides_in_medium_VLDL	Triglycerides in medium very-low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451232/GCST90451232.tsv.gz
GCST90451233	Total_cholesterol_minus_HDLC	Total cholesterol minus high-density lipoprotein cholesterol	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451233/GCST90451233.tsv.gz
GCST90451234	Ratio_of_omega3_fatty_acids_to_total_fatty_acids	Omega-3 fatty acids/total fatty acids ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451234/GCST90451234.tsv.gz
GCST90451235	Omega3_fatty_acids	Omega-3 fatty acids	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451235/GCST90451235.tsv.gz
GCST90451236	Ratio_of_omega6_fatty_acids_to_omega3_fatty_acids	Omega-6 fatty acids/omega-3 fatty acids ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451236/GCST90451236.tsv.gz
GCST90451237	Ratio_of_omega6_fatty_acids_to_total_fatty_acids	Omega-6 fatty acids/total fatty acids ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451237/GCST90451237.tsv.gz
GCST90451238	Omega6_fatty_acids	Omega-6 fatty acids	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451238/GCST90451238.tsv.gz
GCST90451239	Phenylalanine	Phenylalanine	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451239/GCST90451239.tsv.gz
GCST90451240	Phosphatidylcholines	Phosphatidylcholines	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451240/GCST90451240.tsv.gz
GCST90451241	Phosphoglycerides	Phosphoglycerides	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451241/GCST90451241.tsv.gz
GCST90451242	Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	Polyunsaturated fatty acids/monounsaturated fatty acids ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451242/GCST90451242.tsv.gz
GCST90451243	Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	Polyunsaturated fatty acids/total fatty acids ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451243/GCST90451243.tsv.gz
GCST90451244	Polyunsaturated_fatty_acids	Polyunsaturated fatty acids	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451244/GCST90451244.tsv.gz
GCST90451245	Pyruvate	Pyruvate	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451245/GCST90451245.tsv.gz
GCST90451246	Remnant_cholesterol_nonHDL_nonLDL_cholesterol	Remnant cholesterol (non-high-density lipoprotein, non-low-density lipoprotein cholesterol)	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451246/GCST90451246.tsv.gz
GCST90451247	Ratio_of_saturated_fatty_acids_to_total_fatty_acids	Saturated fatty acids/total fatty acids ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451247/GCST90451247.tsv.gz
GCST90451248	Saturated_fatty_acids	Saturated fatty acids	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451248/GCST90451248.tsv.gz
GCST90451249	Cholesteryl_esters_to_total_lipids_ratio_in_small_HDL	Cholesteryl esters/total lipids ratio in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451249/GCST90451249.tsv.gz
GCST90451250	Cholesteryl_esters_in_small_HDL	Cholesteryl esters in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451250/GCST90451250.tsv.gz
GCST90451251	Cholesterol_to_total_lipids_ratio_in_small_HDL	Cholesterol/total lipids ratio in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451251/GCST90451251.tsv.gz
GCST90451252	Cholesterol_in_small_HDL	Cholesterol in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451252/GCST90451252.tsv.gz
GCST90451253	Free_cholesterol_to_total_lipids_ratio_in_small_HDL	Free cholesterol/total lipids ratio in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451253/GCST90451253.tsv.gz
GCST90451254	Free_cholesterol_in_small_HDL	Free cholesterol in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451254/GCST90451254.tsv.gz
GCST90451255	Total_lipids_in_small_HDL	Total lipids in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451255/GCST90451255.tsv.gz
GCST90451256	Phospholipids_to_total_lipids_ratio_in_small_HDL	Phospholipids/total lipids ratio in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451256/GCST90451256.tsv.gz
GCST90451257	Phospholipids_in_small_HDL	Phospholipids in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451257/GCST90451257.tsv.gz
GCST90451258	Concentration_of_small_HDL_particles	Small high-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451258/GCST90451258.tsv.gz
GCST90451259	Triglycerides_to_total_lipids_ratio_in_small_HDL	Triglycerides/total lipids ratio in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451259/GCST90451259.tsv.gz
GCST90451260	Triglycerides_in_small_HDL	Triglycerides in small high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451260/GCST90451260.tsv.gz
GCST90451261	Cholesteryl_esters_to_total_lipids_ratio_in_small_LDL	Cholesteryl esters/total lipids ratio in small low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451261/GCST90451261.tsv.gz
