locus_key	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus088	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus089	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus090	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus091	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus092	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus093	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus094	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus095	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus096	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus097	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus098	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus099	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus100	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus101	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus102	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus103	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus104	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus105	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus106	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus107	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus108	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus109	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus110	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus111	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus112	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus113	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus114	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus115	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus116	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus117	TRUE	TRUE	TRUE
