locus_key	trait	locus	outcome	analysis_status	failure_reason
Cholesterol_in_very_large_HDL__locus367	Cholesterol_in_very_large_HDL	locus367	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus368	Cholesterol_in_very_large_HDL	locus368	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus368	Cholesterol_in_very_large_HDL	locus368	main	success	none
Cholesterol_in_very_large_HDL__locus368	Cholesterol_in_very_large_HDL	locus368	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus369	Cholesterol_in_very_large_HDL	locus369	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus369	Cholesterol_in_very_large_HDL	locus369	main	success	none
Cholesterol_in_very_large_HDL__locus369	Cholesterol_in_very_large_HDL	locus369	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus370	Cholesterol_in_very_large_HDL	locus370	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus370	Cholesterol_in_very_large_HDL	locus370	main	success	none
Cholesterol_in_very_large_HDL__locus370	Cholesterol_in_very_large_HDL	locus370	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus371	Cholesterol_in_very_large_HDL	locus371	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus371	Cholesterol_in_very_large_HDL	locus371	main	success	none
Cholesterol_in_very_large_HDL__locus371	Cholesterol_in_very_large_HDL	locus371	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus372	Cholesterol_in_very_large_HDL	locus372	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus372	Cholesterol_in_very_large_HDL	locus372	main	success	none
Cholesterol_in_very_large_HDL__locus372	Cholesterol_in_very_large_HDL	locus372	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus373	Cholesterol_in_very_large_HDL	locus373	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus373	Cholesterol_in_very_large_HDL	locus373	main	success	none
Cholesterol_in_very_large_HDL__locus373	Cholesterol_in_very_large_HDL	locus373	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus374	Cholesterol_in_very_large_HDL	locus374	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus374	Cholesterol_in_very_large_HDL	locus374	main	success	none
Cholesterol_in_very_large_HDL__locus374	Cholesterol_in_very_large_HDL	locus374	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus375	Cholesterol_in_very_large_HDL	locus375	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus375	Cholesterol_in_very_large_HDL	locus375	main	success	none
Cholesterol_in_very_large_HDL__locus375	Cholesterol_in_very_large_HDL	locus375	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus376	Cholesterol_in_very_large_HDL	locus376	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus376	Cholesterol_in_very_large_HDL	locus376	main	success	none
Cholesterol_in_very_large_HDL__locus376	Cholesterol_in_very_large_HDL	locus376	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus377	Cholesterol_in_very_large_HDL	locus377	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus377	Cholesterol_in_very_large_HDL	locus377	main	success	none
Cholesterol_in_very_large_HDL__locus377	Cholesterol_in_very_large_HDL	locus377	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus378	Cholesterol_in_very_large_HDL	locus378	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus378	Cholesterol_in_very_large_HDL	locus378	main	success	none
Cholesterol_in_very_large_HDL__locus378	Cholesterol_in_very_large_HDL	locus378	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus379	Cholesterol_in_very_large_HDL	locus379	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus379	Cholesterol_in_very_large_HDL	locus379	main	success	none
Cholesterol_in_very_large_HDL__locus379	Cholesterol_in_very_large_HDL	locus379	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus380	Cholesterol_in_very_large_HDL	locus380	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus380	Cholesterol_in_very_large_HDL	locus380	main	success	none
Cholesterol_in_very_large_HDL__locus380	Cholesterol_in_very_large_HDL	locus380	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus381	Cholesterol_in_very_large_HDL	locus381	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus381	Cholesterol_in_very_large_HDL	locus381	main	success	none
Cholesterol_in_very_large_HDL__locus381	Cholesterol_in_very_large_HDL	locus381	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus382	Cholesterol_in_very_large_HDL	locus382	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus382	Cholesterol_in_very_large_HDL	locus382	main	success	none
Cholesterol_in_very_large_HDL__locus382	Cholesterol_in_very_large_HDL	locus382	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus383	Cholesterol_in_very_large_HDL	locus383	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus383	Cholesterol_in_very_large_HDL	locus383	main	success	none
Cholesterol_in_very_large_HDL__locus383	Cholesterol_in_very_large_HDL	locus383	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus384	Cholesterol_in_very_large_HDL	locus384	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus384	Cholesterol_in_very_large_HDL	locus384	main	success	none
Cholesterol_in_very_large_HDL__locus384	Cholesterol_in_very_large_HDL	locus384	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus385	Cholesterol_in_very_large_HDL	locus385	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus385	Cholesterol_in_very_large_HDL	locus385	main	success	none
Cholesterol_in_very_large_HDL__locus385	Cholesterol_in_very_large_HDL	locus385	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus386	Cholesterol_in_very_large_HDL	locus386	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus386	Cholesterol_in_very_large_HDL	locus386	main	success	none
Cholesterol_in_very_large_HDL__locus386	Cholesterol_in_very_large_HDL	locus386	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus387	Cholesterol_in_very_large_HDL	locus387	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus387	Cholesterol_in_very_large_HDL	locus387	main	success	none
Cholesterol_in_very_large_HDL__locus387	Cholesterol_in_very_large_HDL	locus387	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus388	Cholesterol_in_very_large_HDL	locus388	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus388	Cholesterol_in_very_large_HDL	locus388	main	success	none
Cholesterol_in_very_large_HDL__locus388	Cholesterol_in_very_large_HDL	locus388	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus389	Cholesterol_in_very_large_HDL	locus389	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus389	Cholesterol_in_very_large_HDL	locus389	main	success	none
Cholesterol_in_very_large_HDL__locus389	Cholesterol_in_very_large_HDL	locus389	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus390	Cholesterol_in_very_large_HDL	locus390	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus390	Cholesterol_in_very_large_HDL	locus390	main	success	none
Cholesterol_in_very_large_HDL__locus390	Cholesterol_in_very_large_HDL	locus390	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus391	Cholesterol_in_very_large_HDL	locus391	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus391	Cholesterol_in_very_large_HDL	locus391	main	success	none
Cholesterol_in_very_large_HDL__locus391	Cholesterol_in_very_large_HDL	locus391	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus392	Cholesterol_in_very_large_HDL	locus392	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus392	Cholesterol_in_very_large_HDL	locus392	main	success	none
Cholesterol_in_very_large_HDL__locus392	Cholesterol_in_very_large_HDL	locus392	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus393	Cholesterol_in_very_large_HDL	locus393	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus393	Cholesterol_in_very_large_HDL	locus393	main	success	none
Cholesterol_in_very_large_HDL__locus393	Cholesterol_in_very_large_HDL	locus393	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus394	Cholesterol_in_very_large_HDL	locus394	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus394	Cholesterol_in_very_large_HDL	locus394	main	success	none
Cholesterol_in_very_large_HDL__locus394	Cholesterol_in_very_large_HDL	locus394	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus395	Cholesterol_in_very_large_HDL	locus395	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus395	Cholesterol_in_very_large_HDL	locus395	main	success	none
Cholesterol_in_very_large_HDL__locus395	Cholesterol_in_very_large_HDL	locus395	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus396	Cholesterol_in_very_large_HDL	locus396	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus396	Cholesterol_in_very_large_HDL	locus396	main	success	none
Cholesterol_in_very_large_HDL__locus396	Cholesterol_in_very_large_HDL	locus396	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus397	Cholesterol_in_very_large_HDL	locus397	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus397	Cholesterol_in_very_large_HDL	locus397	main	success	none
Cholesterol_in_very_large_HDL__locus397	Cholesterol_in_very_large_HDL	locus397	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus398	Cholesterol_in_very_large_HDL	locus398	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus398	Cholesterol_in_very_large_HDL	locus398	main	success	none
Cholesterol_in_very_large_HDL__locus398	Cholesterol_in_very_large_HDL	locus398	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus399	Cholesterol_in_very_large_HDL	locus399	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus399	Cholesterol_in_very_large_HDL	locus399	main	success	none
Cholesterol_in_very_large_HDL__locus399	Cholesterol_in_very_large_HDL	locus399	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus400	Cholesterol_in_very_large_HDL	locus400	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus400	Cholesterol_in_very_large_HDL	locus400	main	success	none
Cholesterol_in_very_large_HDL__locus400	Cholesterol_in_very_large_HDL	locus400	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus401	Cholesterol_in_very_large_HDL	locus401	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus401	Cholesterol_in_very_large_HDL	locus401	main	success	none
Cholesterol_in_very_large_HDL__locus401	Cholesterol_in_very_large_HDL	locus401	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus402	Cholesterol_in_very_large_HDL	locus402	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus402	Cholesterol_in_very_large_HDL	locus402	main	success	none
Cholesterol_in_very_large_HDL__locus402	Cholesterol_in_very_large_HDL	locus402	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus403	Cholesterol_in_very_large_HDL	locus403	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus403	Cholesterol_in_very_large_HDL	locus403	main	success	none
Cholesterol_in_very_large_HDL__locus403	Cholesterol_in_very_large_HDL	locus403	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus404	Cholesterol_in_very_large_HDL	locus404	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus404	Cholesterol_in_very_large_HDL	locus404	main	success	none
Cholesterol_in_very_large_HDL__locus404	Cholesterol_in_very_large_HDL	locus404	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus405	Cholesterol_in_very_large_HDL	locus405	classification	inconclusive	lead_missing
Cholesterol_in_very_large_HDL__locus405	Cholesterol_in_very_large_HDL	locus405	main	success	none
Cholesterol_in_very_large_HDL__locus405	Cholesterol_in_very_large_HDL	locus405	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus406	Cholesterol_in_very_large_HDL	locus406	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus406	Cholesterol_in_very_large_HDL	locus406	main	success	none
Cholesterol_in_very_large_HDL__locus406	Cholesterol_in_very_large_HDL	locus406	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus407	Cholesterol_in_very_large_HDL	locus407	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus407	Cholesterol_in_very_large_HDL	locus407	main	success	none
Cholesterol_in_very_large_HDL__locus407	Cholesterol_in_very_large_HDL	locus407	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus408	Cholesterol_in_very_large_HDL	locus408	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus408	Cholesterol_in_very_large_HDL	locus408	main	success	none
Cholesterol_in_very_large_HDL__locus408	Cholesterol_in_very_large_HDL	locus408	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus409	Cholesterol_in_very_large_HDL	locus409	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus409	Cholesterol_in_very_large_HDL	locus409	main	success	none
Cholesterol_in_very_large_HDL__locus409	Cholesterol_in_very_large_HDL	locus409	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus410	Cholesterol_in_very_large_HDL	locus410	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus410	Cholesterol_in_very_large_HDL	locus410	main	success	none
Cholesterol_in_very_large_HDL__locus410	Cholesterol_in_very_large_HDL	locus410	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus411	Cholesterol_in_very_large_HDL	locus411	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus411	Cholesterol_in_very_large_HDL	locus411	main	success	none
Cholesterol_in_very_large_HDL__locus411	Cholesterol_in_very_large_HDL	locus411	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus412	Cholesterol_in_very_large_HDL	locus412	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus412	Cholesterol_in_very_large_HDL	locus412	main	success	none
Cholesterol_in_very_large_HDL__locus412	Cholesterol_in_very_large_HDL	locus412	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus413	Cholesterol_in_very_large_HDL	locus413	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus413	Cholesterol_in_very_large_HDL	locus413	main	success	none
Cholesterol_in_very_large_HDL__locus413	Cholesterol_in_very_large_HDL	locus413	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus414	Cholesterol_in_very_large_HDL	locus414	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus414	Cholesterol_in_very_large_HDL	locus414	main	success	none
Cholesterol_in_very_large_HDL__locus414	Cholesterol_in_very_large_HDL	locus414	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus415	Cholesterol_in_very_large_HDL	locus415	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus415	Cholesterol_in_very_large_HDL	locus415	main	success	none
Cholesterol_in_very_large_HDL__locus415	Cholesterol_in_very_large_HDL	locus415	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus416	Cholesterol_in_very_large_HDL	locus416	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus416	Cholesterol_in_very_large_HDL	locus416	main	success	none
Cholesterol_in_very_large_HDL__locus416	Cholesterol_in_very_large_HDL	locus416	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus417	Cholesterol_in_very_large_HDL	locus417	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus417	Cholesterol_in_very_large_HDL	locus417	main	success	none
Cholesterol_in_very_large_HDL__locus417	Cholesterol_in_very_large_HDL	locus417	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus418	Cholesterol_in_very_large_HDL	locus418	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus418	Cholesterol_in_very_large_HDL	locus418	main	success	none
Cholesterol_in_very_large_HDL__locus418	Cholesterol_in_very_large_HDL	locus418	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus419	Cholesterol_in_very_large_HDL	locus419	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus419	Cholesterol_in_very_large_HDL	locus419	main	success	none
Cholesterol_in_very_large_HDL__locus419	Cholesterol_in_very_large_HDL	locus419	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus420	Cholesterol_in_very_large_HDL	locus420	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus420	Cholesterol_in_very_large_HDL	locus420	main	success	none
Cholesterol_in_very_large_HDL__locus420	Cholesterol_in_very_large_HDL	locus420	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus421	Cholesterol_in_very_large_HDL	locus421	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus421	Cholesterol_in_very_large_HDL	locus421	main	success	none
Cholesterol_in_very_large_HDL__locus421	Cholesterol_in_very_large_HDL	locus421	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus422	Cholesterol_in_very_large_HDL	locus422	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus422	Cholesterol_in_very_large_HDL	locus422	main	success	none
Cholesterol_in_very_large_HDL__locus422	Cholesterol_in_very_large_HDL	locus422	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus423	Cholesterol_in_very_large_HDL	locus423	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus423	Cholesterol_in_very_large_HDL	locus423	main	success	none
Cholesterol_in_very_large_HDL__locus423	Cholesterol_in_very_large_HDL	locus423	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus424	Cholesterol_in_very_large_HDL	locus424	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus424	Cholesterol_in_very_large_HDL	locus424	main	success	none
Cholesterol_in_very_large_HDL__locus424	Cholesterol_in_very_large_HDL	locus424	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus425	Cholesterol_in_very_large_HDL	locus425	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus425	Cholesterol_in_very_large_HDL	locus425	main	success	none
Cholesterol_in_very_large_HDL__locus425	Cholesterol_in_very_large_HDL	locus425	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus426	Cholesterol_in_very_large_HDL	locus426	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus426	Cholesterol_in_very_large_HDL	locus426	main	success	none
Cholesterol_in_very_large_HDL__locus426	Cholesterol_in_very_large_HDL	locus426	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus427	Cholesterol_in_very_large_HDL	locus427	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus427	Cholesterol_in_very_large_HDL	locus427	main	success	none
Cholesterol_in_very_large_HDL__locus427	Cholesterol_in_very_large_HDL	locus427	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus428	Cholesterol_in_very_large_HDL	locus428	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus428	Cholesterol_in_very_large_HDL	locus428	main	success	none
Cholesterol_in_very_large_HDL__locus428	Cholesterol_in_very_large_HDL	locus428	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus429	Cholesterol_in_very_large_HDL	locus429	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus429	Cholesterol_in_very_large_HDL	locus429	main	success	none
Cholesterol_in_very_large_HDL__locus429	Cholesterol_in_very_large_HDL	locus429	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus430	Cholesterol_in_very_large_HDL	locus430	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus430	Cholesterol_in_very_large_HDL	locus430	main	success	none
Cholesterol_in_very_large_HDL__locus430	Cholesterol_in_very_large_HDL	locus430	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus431	Cholesterol_in_very_large_HDL	locus431	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus431	Cholesterol_in_very_large_HDL	locus431	main	success	none
Cholesterol_in_very_large_HDL__locus431	Cholesterol_in_very_large_HDL	locus431	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus432	Cholesterol_in_very_large_HDL	locus432	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus432	Cholesterol_in_very_large_HDL	locus432	main	success	none
Cholesterol_in_very_large_HDL__locus432	Cholesterol_in_very_large_HDL	locus432	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus433	Cholesterol_in_very_large_HDL	locus433	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus433	Cholesterol_in_very_large_HDL	locus433	main	success	none
Cholesterol_in_very_large_HDL__locus433	Cholesterol_in_very_large_HDL	locus433	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus434	Cholesterol_in_very_large_HDL	locus434	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus434	Cholesterol_in_very_large_HDL	locus434	main	success	none
Cholesterol_in_very_large_HDL__locus434	Cholesterol_in_very_large_HDL	locus434	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus435	Cholesterol_in_very_large_HDL	locus435	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus435	Cholesterol_in_very_large_HDL	locus435	main	success	none
Cholesterol_in_very_large_HDL__locus435	Cholesterol_in_very_large_HDL	locus435	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus436	Cholesterol_in_very_large_HDL	locus436	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus436	Cholesterol_in_very_large_HDL	locus436	main	success	none
Cholesterol_in_very_large_HDL__locus436	Cholesterol_in_very_large_HDL	locus436	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus437	Cholesterol_in_very_large_HDL	locus437	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus437	Cholesterol_in_very_large_HDL	locus437	main	success	none
Cholesterol_in_very_large_HDL__locus437	Cholesterol_in_very_large_HDL	locus437	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus438	Cholesterol_in_very_large_HDL	locus438	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus438	Cholesterol_in_very_large_HDL	locus438	main	success	none
Cholesterol_in_very_large_HDL__locus438	Cholesterol_in_very_large_HDL	locus438	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus439	Cholesterol_in_very_large_HDL	locus439	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus439	Cholesterol_in_very_large_HDL	locus439	main	success	none
Cholesterol_in_very_large_HDL__locus439	Cholesterol_in_very_large_HDL	locus439	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus440	Cholesterol_in_very_large_HDL	locus440	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus440	Cholesterol_in_very_large_HDL	locus440	main	success	none
Cholesterol_in_very_large_HDL__locus440	Cholesterol_in_very_large_HDL	locus440	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus441	Cholesterol_in_very_large_HDL	locus441	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus441	Cholesterol_in_very_large_HDL	locus441	main	success	none
Cholesterol_in_very_large_HDL__locus441	Cholesterol_in_very_large_HDL	locus441	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus442	Cholesterol_in_very_large_HDL	locus442	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus442	Cholesterol_in_very_large_HDL	locus442	main	success	none
Cholesterol_in_very_large_HDL__locus442	Cholesterol_in_very_large_HDL	locus442	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus443	Cholesterol_in_very_large_HDL	locus443	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus443	Cholesterol_in_very_large_HDL	locus443	main	success	none
Cholesterol_in_very_large_HDL__locus443	Cholesterol_in_very_large_HDL	locus443	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus444	Cholesterol_in_very_large_HDL	locus444	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus444	Cholesterol_in_very_large_HDL	locus444	main	success	none
Cholesterol_in_very_large_HDL__locus444	Cholesterol_in_very_large_HDL	locus444	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus445	Cholesterol_in_very_large_HDL	locus445	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus445	Cholesterol_in_very_large_HDL	locus445	main	success	none
Cholesterol_in_very_large_HDL__locus445	Cholesterol_in_very_large_HDL	locus445	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus446	Cholesterol_in_very_large_HDL	locus446	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus446	Cholesterol_in_very_large_HDL	locus446	main	success	none
Cholesterol_in_very_large_HDL__locus446	Cholesterol_in_very_large_HDL	locus446	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus447	Cholesterol_in_very_large_HDL	locus447	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus447	Cholesterol_in_very_large_HDL	locus447	main	success	none
Cholesterol_in_very_large_HDL__locus447	Cholesterol_in_very_large_HDL	locus447	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus448	Cholesterol_in_very_large_HDL	locus448	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus448	Cholesterol_in_very_large_HDL	locus448	main	success	none
Cholesterol_in_very_large_HDL__locus448	Cholesterol_in_very_large_HDL	locus448	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus449	Cholesterol_in_very_large_HDL	locus449	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus449	Cholesterol_in_very_large_HDL	locus449	main	success	none
Cholesterol_in_very_large_HDL__locus449	Cholesterol_in_very_large_HDL	locus449	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus450	Cholesterol_in_very_large_HDL	locus450	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus450	Cholesterol_in_very_large_HDL	locus450	main	success	none
Cholesterol_in_very_large_HDL__locus450	Cholesterol_in_very_large_HDL	locus450	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus451	Cholesterol_in_very_large_HDL	locus451	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus451	Cholesterol_in_very_large_HDL	locus451	main	success	none
Cholesterol_in_very_large_HDL__locus451	Cholesterol_in_very_large_HDL	locus451	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus452	Cholesterol_in_very_large_HDL	locus452	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus452	Cholesterol_in_very_large_HDL	locus452	main	success	none
Cholesterol_in_very_large_HDL__locus452	Cholesterol_in_very_large_HDL	locus452	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus453	Cholesterol_in_very_large_HDL	locus453	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus453	Cholesterol_in_very_large_HDL	locus453	main	success	none
Cholesterol_in_very_large_HDL__locus453	Cholesterol_in_very_large_HDL	locus453	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus454	Cholesterol_in_very_large_HDL	locus454	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus454	Cholesterol_in_very_large_HDL	locus454	main	success	none
Cholesterol_in_very_large_HDL__locus454	Cholesterol_in_very_large_HDL	locus454	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus455	Cholesterol_in_very_large_HDL	locus455	classification	inconclusive	posterior_indeterminate
