locus_key	trait	locus	abf_class	failure_reason	is_mhc	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus042	Cholesterol_in_very_large_HDL	locus042	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus043	Cholesterol_in_very_large_HDL	locus043	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus044	Cholesterol_in_very_large_HDL	locus044	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus045	Cholesterol_in_very_large_HDL	locus045	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus046	Cholesterol_in_very_large_HDL	locus046	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus047	Cholesterol_in_very_large_HDL	locus047	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus048	Cholesterol_in_very_large_HDL	locus048	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus049	Cholesterol_in_very_large_HDL	locus049	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus050	Cholesterol_in_very_large_HDL	locus050	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus051	Cholesterol_in_very_large_HDL	locus051	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus052	Cholesterol_in_very_large_HDL	locus052	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus053	Cholesterol_in_very_large_HDL	locus053	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus054	Cholesterol_in_very_large_HDL	locus054	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus055	Cholesterol_in_very_large_HDL	locus055	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus056	Cholesterol_in_very_large_HDL	locus056	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus057	Cholesterol_in_very_large_HDL	locus057	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus058	Cholesterol_in_very_large_HDL	locus058	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus059	Cholesterol_in_very_large_HDL	locus059	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
