trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Cholesteryl_esters_in_small_HDL	198	0.0176483377576584	0.013906883836414	0.204428185565855	0.247100088378145	1	null
Cholesteryl_esters_in_small_LDL	198	0.0354547994156702	0.0113427632537783	0.0017734389598534	0.00313743988028908	0.441586301003497	fdr_only
Cholesteryl_esters_in_small_VLDL	198	0.0580699401243135	0.0113280011710678	2.95601368536601e-07	1.08242265831785e-06	7.36047407656137e-05	bonferroni_hit
Cholesteryl_esters_in_very_large_HDL	198	-0.103171373774506	0.0265903814984292	0.0001044452638111	0.000230149298132424	0.0260068706889639	bonferroni_hit
Cholesteryl_esters_in_very_large_VLDL	198	0.085183222617502	0.0147241994081409	7.24031636136303e-09	4.74431256310367e-08	1.80283877397939e-06	bonferroni_hit
Cholesteryl_esters_in_very_small_VLDL	198	-0.0227387168002976	0.0209280883832632	0.277250471898661	0.327181836506003	1	null
Cholesteryl_esters_in_VLDL	198	0.0423712913652827	0.0113921228012336	0.0001997361615243	0.000407658231307793	0.0497343042195507	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	198	-0.0284624424416836	0.0100259585329788	0.0045272896419558	0.00772119945785612	1	fdr_only
Cholesteryl_esters_to_total_lipids_ratio_in_large_HDL	198	-0.117786208840428	0.018543371983871	2.12629485285318e-10	3.78176727400316e-09	5.29447418360442e-08	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_large_LDL	198	-0.0056400171087054	0.010740900568473	0.599515603401097	0.640951652167312	1	null
Cholesteryl_esters_to_total_lipids_ratio_in_large_VLDL	198	-0.082919577472742	0.0195816310060893	2.2900036299074e-05	5.75970609946407e-05	0.00570210903846943	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_medium_HDL	198	-0.111334532160941	0.0176502998744638	2.83032659014509e-10	4.44049367367671e-09	7.04751320946128e-08	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_medium_LDL	198	0.0629629011917613	0.0120189477696175	1.61767107582999e-07	6.10303178608587e-07	4.02800097881668e-05	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	198	-0.114551120713923	0.023294313552709	8.76308290241234e-07	2.76203499076035e-06	0.000218200764270067	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_small_HDL	198	-0.0748728725427699	0.0130689340548653	1.00981148731243e-08	6.44725795745628e-08	2.51443060340795e-06	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_small_LDL	198	0.0748598133405669	0.0209772106730753	0.0003588586593838	0.000676937925655805	0.0893558061865662	fdr_only
Cholesteryl_esters_to_total_lipids_ratio_in_small_VLDL	198	-0.0557319086372358	0.0149203897201932	0.0001875026795807	0.000389068060129952	0.0466881672155943	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_very_large_HDL	198	-0.0535061826115024	0.0125449771331954	1.99769843137158e-05	5.07578478991351e-05	0.00497426909411523	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_very_large_VLDL	198	-0.1043818848631	0.0198055517854539	1.36175287891495e-07	5.46897527177133e-07	3.39076466849823e-05	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	198	-0.131462057447571	0.0265711642430662	7.51549457450748e-07	2.45878067187148e-06	0.000187135814905236	bonferroni_hit
Cholines	198	0.0033406168401223	0.015895215614712	0.833538951889893	0.850619668117145	1	null
Citrate	198	-0.0364333403528594	0.0140852779817205	0.0096920845194049	0.01567096782683	1	fdr_only
Clinical_LDL_C	198	-0.0138118141422066	0.0172375882191759	0.422980329682604	0.472296421932594	1	null
Concentration_of_chylomicrons_and_extremely_large_VLDL_particles	198	0.112404092923124	0.0206551339142975	5.27020893148541e-08	2.62456404787973e-07	1.31228202393987e-05	bonferroni_hit
Concentration_of_IDL_particles	198	-0.0100763518694536	0.0160993497129414	0.531389951171535	0.580265767976484	1	null
Concentration_of_large_HDL_particles	198	-0.0897710504783631	0.0230307384156817	9.70385509434679e-05	0.000217552556525633	0.0241625991849235	bonferroni_hit
Concentration_of_large_LDL_particles	198	0.0092757453807142	0.0141371151879173	0.511742304033601	0.561338474468576	1	null
Concentration_of_large_VLDL_particles	198	0.102839223995356	0.0169658688128318	1.34827730219968e-09	1.41106546292673e-08	3.3572104824772e-07	bonferroni_hit
Concentration_of_LDL_particles	198	0.0164266421545471	0.013747369616527	0.232128655362198	0.276555192273623	1	null
Concentration_of_medium_HDL_particles	198	-0.0377041792013388	0.0168344636604609	0.0251102861753995	0.0376654292630993	1	fdr_only
Concentration_of_medium_LDL_particles	198	0.0241860011836609	0.0130325951976373	0.0634808559748551	0.0859061583572768	1	null
Concentration_of_medium_VLDL_particles	198	0.0538349600524243	0.0112652232391353	1.76289139125686e-06	5.35317020027998e-06	0.000438959956422958	bonferroni_hit
