trait_id	trait_display	screen_level	n_iv	min_f	median_f	cumulative_r2_approx	maf_min	maf_q25	maf_median	maf_q75	maf_max	i2gx	nome_i2gx_ge_0_90	ld_panel_missing_n	ld_panel_eligible_n	ld_panel_missing_fraction	ld_panel_missingness_note
Free_cholesterol_in_very_small_VLDL	Free cholesterol in very small very-low-density lipoprotein	null	281	29.8522267680267	61.915297303005	0.0750405940013882	0.00464248	0.118377	0.24259	0.371973	0.49737	0.994888424018856	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_IDL	Free cholesterol/total lipids ratio in intermediate-density lipoprotein	fdr_only	228	29.8332005171602	56.0455617866259	0.0558195850126189	0.00547602	0.1166815	0.2707	0.38225825	0.499831	0.993600749479058	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Free cholesterol/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	null	144	29.896691129361	46.0317796215915	0.0306565784249317	0.00999835	0.11619275	0.272132	0.37868225	0.493723	0.992681490911162	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_large_HDL	Free cholesterol/total lipids ratio in large high-density lipoprotein	fdr_only	336	29.8240821653897	52.8297863250465	0.0800582306384404	0.00597998	0.1074265	0.263648	0.37946375	0.49705	0.994624588520663	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_large_LDL	Free cholesterol/total lipids ratio in large low-density lipoprotein	fdr_only	412	29.7195296438576	54.7023577449242	0.0886655943780007	0.00547602	0.122633	0.2638875	0.38265575	0.499831	0.993759466457371	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_large_VLDL	Free cholesterol/total lipids ratio in large very-low-density lipoprotein	null	217	29.7806449085293	54.7701189289235	0.0542947963272841	0.011587	0.109725	0.22704	0.349796	0.497254	0.99383635260856	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_medium_HDL	Free cholesterol/total lipids ratio in medium high-density lipoprotein	fdr_only	423	29.7606810121546	55.4674936535482	0.0846408096127433	0.00810097	0.1256625	0.252003	0.3929545	0.499141	0.994398433297761	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_medium_LDL	Free cholesterol/total lipids ratio in medium low-density lipoprotein	fdr_only	371	29.8188810973511	56.2621693130569	0.0874088986189013	0.00547602	0.127146	0.271052	0.3868905	0.499321	0.994162020232497	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	Free cholesterol/total lipids ratio in medium very-low-density lipoprotein	bonferroni_hit	342	29.9153839424212	55.7238797417026	0.0824766513788569	0.0062812	0.1062205	0.2604155	0.376571	0.495922	0.994252139447287	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Free_cholesterol_to_total_lipids_ratio_in_small_HDL	Free cholesterol/total lipids ratio in small high-density lipoprotein	null	348	29.7582312061669	56.0490690822343	0.0795093203747894	0.00792158	0.1036875	0.2496175	0.39673275	0.498441	0.99454669675807	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
