trait	autosomal_biallelic	in_ld_panel	ld_panel_missing
Free_cholesterol_to_total_lipids_ratio_in_large_LDL	88070	82949	5121
Free_cholesterol_to_total_lipids_ratio_in_large_VLDL	37168	34933	2235
Free_cholesterol_to_total_lipids_ratio_in_medium_HDL	87205	81490	5715
Free_cholesterol_to_total_lipids_ratio_in_medium_LDL	79396	74635	4761
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	70680	67021	3659
Free_cholesterol_to_total_lipids_ratio_in_small_HDL	67411	62212	5199
Free_cholesterol_to_total_lipids_ratio_in_small_LDL	67323	62882	4441
Free_cholesterol_to_total_lipids_ratio_in_small_VLDL	75612	71394	4218
Free_cholesterol_to_total_lipids_ratio_in_very_large_HDL	76368	71326	5042
Free_cholesterol_to_total_lipids_ratio_in_very_large_VLDL	44835	42706	2129
Free_cholesterol_to_total_lipids_ratio_in_very_small_VLDL	44516	42336	2180
Gln	45555	42866	2689
Glucose	15799	15043	756
Gly	59173	50815	8358
GlycA	74675	69281	5394
HDL_CE	90489	85015	5474
HDL_C	90058	84510	5548
HDL_FC	83012	77564	5448
HDL_L	78598	73511	5087
HDL_PL	73583	68777	4806
HDL_P	71158	67177	3981
HDL_TG	63805	59554	4251
HDL_size	95513	89053	6460
His	12505	11362	1143
IDL_CE	54765	51148	3617
IDL_CE_pct	41196	37635	3561
Isoleucine	8899	8569	330
LDL_cholesterol	53786	49909	3877
Lactate	10394	9840	554
Leucine	14067	13494	573
Linoleic_acid	69257	64754	4503
Monounsaturated_fatty_acids	72292	67897	4395
Omega3_fatty_acids	61407	56308	5099
Omega6_fatty_acids	71231	66698	4533
Phenylalanine	8930	7437	1493
Phosphatidylcholines	66244	61877	4367
Phosphoglycerides	64777	60637	4140
Phospholipids_in_IDL	63228	58785	4443
Phospholipids_in_LDL	56518	52219	4299
Phospholipids_in_VLDL	71958	67397	4561
Phospholipids_in_chylomicrons_and_extremely_large_VLDL	68782	64834	3948
Phospholipids_in_large_HDL	94234	87876	6358
Phospholipids_in_large_LDL	52311	48575	3736
Phospholipids_in_large_VLDL	78176	73558	4618
Phospholipids_in_medium_HDL	68150	63953	4197
Phospholipids_in_medium_LDL	60790	56409	4381
Phospholipids_in_medium_VLDL	64382	60111	4271
Phospholipids_in_small_HDL	58868	55722	3146
Phospholipids_in_small_LDL	59483	54506	4977
Phospholipids_in_small_VLDL	72184	67310	4874
Phospholipids_in_very_large_HDL	89595	83764	5831
Phospholipids_in_very_large_VLDL	72986	68766	4220
Phospholipids_in_very_small_VLDL	67616	62342	5274
Phospholipids_to_total_lipids_ratio_in_IDL	22197	20259	1938
Phospholipids_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	19906	18610	1296
Phospholipids_to_total_lipids_ratio_in_large_HDL	74061	70715	3346
Phospholipids_to_total_lipids_ratio_in_large_LDL	37878	34891	2987
Phospholipids_to_total_lipids_ratio_in_large_VLDL	65919	61323	4596
Phospholipids_to_total_lipids_ratio_in_medium_HDL	76497	72202	4295
Phospholipids_to_total_lipids_ratio_in_medium_LDL	28269	26549	1720
Phospholipids_to_total_lipids_ratio_in_medium_VLDL	63283	59920	3363
Phospholipids_to_total_lipids_ratio_in_small_HDL	49520	46303	3217
Phospholipids_to_total_lipids_ratio_in_small_LDL	52417	49350	3067
Phospholipids_to_total_lipids_ratio_in_small_VLDL	73550	69326	4224
Phospholipids_to_total_lipids_ratio_in_very_large_HDL	65316	60780	4536
Phospholipids_to_total_lipids_ratio_in_very_large_VLDL	35959	33763	2196
Phospholipids_to_total_lipids_ratio_in_very_small_VLDL	43936	40784	3152
Polyunsaturated_fatty_acids	74737	69879	4858
Pyruvate	14535	13696	839
Ratio_of_linoleic_acid_to_total_fatty_acids	38964	37059	1905
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	72835	68293	4542
Ratio_of_omega3_fatty_acids_to_total_fatty_acids	36803	32934	3869
Ratio_of_omega6_fatty_acids_to_omega3_fatty_acids	41465	37580	3885
Ratio_of_omega6_fatty_acids_to_total_fatty_acids	48532	45830	2702
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	64376	60520	3856
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	43445	41403	2042
